"","location_code","suma_exports","count"
"1","ALB",6652053614,5045
"2","ARG",81686581814,5045
"3","ARM",5346515574,5045
"4","AUT",248189117872,5045
"5","BEL",446015228696,5045
"6","BGR",44902435962,5045
"7","BLR",42596411397,5045
"8","BOL",10375292920,5045
"9","BRA",269183266876,5045
"10","CAN",564639640854,5045
"11","CHN",2828242306646,5045
"12","COL",52540125891,5045
"13","CRI",25267944470,5045
"14","CYP",20079793039,5045
"15","CZE",229909631536,5045
"16","DEU",1849421753982,5045
"17","DNK",193492573055,5045
"18","DOM",20844577766,5045
"19","ECU",27646439733,5045
"20","EGY",57960202001,5045
"21","ESP",493886426002,5045
"22","EST",24856578852,5045
"23","FIN",107232537311,5045
"24","FJI",2487830017,5045
"25","FRA",862581499764,5045
"26","GBR",897220538866,5045
"27","GEO",8397288980,5045
"28","GRC",82760587124,5045
"29","HND",10849576084,5045
"30","HRV",34220786306,5045
"31","HUN",152297972309,5045
"32","IDN",216019163860,5045
"33","IND",539907953067,5045
"34","IRL",436530052496,5045
"35","IRN",31253918638,5045
"36","ITA",660054268483,5045
"37","KGZ",3038136776,5045
"38","KIR",110767745,5045
"39","LKA",19620776337,5045
"40","LTU",46423603724,5045
"41","LUX",127973253208,5045
"42","LVA",20700194418,5045
"43","MDA",4736727568,5045
"44","MDV",3636986148,5045
"45","MHL",1254095354,5045
"46","MKD",9551932846,5045
"47","MLT",21681449965,5045
"48","MOZ",6674293778,5045
"49","MWI",1313695319,5045
"50","NLD",779128848794,5045
"51","NOR",146933700571,5045
"52","PAN",24453644914,5045
"53","PER",55161505908,5045
"54","POL",322066103747,5045
"55","PRT",107021790303,5045
"56","PRY",9067155093,5045
"57","ROU",108595867250,5045
"58","RUS",488684797303,5045
"59","SLV",9266968575,5045
"60","SRB",27784881318,5045
"61","SVK",102191644621,5045
"62","SVN",47259079492,5045
"63","SWE",238385658282,5045
"64","THA",332235823452,5045
"65","TUR",251833828393,5045
"66","UGA",5734724487,5045
"67","UKR",70811457583,5045
"68","URY",14179076252,5045
"69","USA",2535456845352,5045
"70","VUT",496185874,5045
"71","ZWE",4881835376,5045
